Applications	CEF Code	NBR Version	Kit Code	Remarks (Compatibility - years - notes)	Manufacturer	Application Type
L130TXRT (1995)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
L130TXRU (1996)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
L150~L250 (1996)	500371		61A-W0078-A1-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
L200TXRV (1997)	500371		61A-W0078-A4-00	OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
L200TXRW (1998)	500371		61A-W0078-A4-00	OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
L200TXRX (1999)	500371		61A-W0078-A4-00	OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115TXR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115TXR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115TXR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115TXR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115TXR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115TXRY (2000)	500371		6N6-W0078-02-00	4-stroke. Year 2000. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115TXRZ (2001)	500371		6N6-W0078-02-00	4-stroke. Year 2001. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115XA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115XA (_0611)	500371			2-stroke. Year: Jun 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115XA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115XA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115XB (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115XB (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF115XB (214)	500371			2-stroke. Year: Feb 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150TXR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150TXR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150TXR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150TXR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150TXR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150XA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150XA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150XA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150XB (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF150XB (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200TXR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200TXR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200TXR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200TXR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XA (_0511)	500371			2-stroke. Year: May 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XB (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XB (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XB (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XB (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XB (1212)	500371			2-stroke. Year: Dec 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XCA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XCA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XCA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF200XCA (213)	500371			2-stroke. Year: Feb 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF225TUR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF225TURA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF225TURB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF225TURC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF225TURD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF225TXR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF225TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF225TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF225TXR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF225TXR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF225TXR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF225TXR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF225TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LF225TXRA (2002)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LF225TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LF225TXRB (2003)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LF225TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LF225TXRC (2004)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LF225TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LF225TXRD (2005)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LF225XB (616)	500401			4-stroke. Year: Jun 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF225XCA (_0112)	500401			4-stroke. Year: Jan 2012. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF225XCA (_0411)	500401			4-stroke. Year: Apr 2011. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF225XCA (113)	500401			4-stroke. Year: Jan 2013. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF225XCA (114)	500401			4-stroke. Year: Jan 2014. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF225XCA (115)	500401			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF225XCA (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF225XCA (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250BTUR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250BTUR (508)	500371			2-stroke. Year: May 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250BTXR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250BTXR (508)	500371			2-stroke. Year: May 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TUR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TUR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TUR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TUR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TUR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TUR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TUR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TURD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LF250TURD (2005)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LF250TXR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TXR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TXR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TXR (409)	500371			2-stroke. Year: Apr 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TXR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LF250TXRD (2005)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LF250UA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250UA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250UCA (_0112)	500401			4-stroke. Year: Jan 2012. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250UCA (_0411)	500401			4-stroke. Year: Apr 2011. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250UCA (113)	500401			4-stroke. Year: Jan 2013. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250UCA (114)	500401			4-stroke. Year: Jan 2014. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250UCA (115)	500401			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250UCA (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250UCA (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250XA (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250XA (113)	500371			2-stroke. Year: Jan 2013. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250XA (114)	500371			2-stroke. Year: Jan 2014. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250XA (115)	500371			2-stroke. Year: Jan 2015. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250XA (116)	500371			2-stroke. Year: Jan 2016. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LF250XB (616)	500401			4-stroke. Year: Jun 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250XCA (_0112)	500401			4-stroke. Year: Jan 2012. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250XCA (_0411)	500401			4-stroke. Year: Apr 2011. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250XCA (113)	500401			4-stroke. Year: Jan 2013. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250XCA (114)	500401			4-stroke. Year: Jan 2014. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250XCA (115)	500401			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250XCA (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF250XCA (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300TUR (1207)	500389			4-stroke. Year: Dec 2007. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF300TUR (408)	500389			4-stroke. Year: Apr 2008. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF300TUR (409)	500389			4-stroke. Year: Apr 2009. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF300TXR (1207)	500389			4-stroke. Year: Dec 2007. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF300TXR (408)	500389			4-stroke. Year: Apr 2008. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF300TXR (409)	500389			4-stroke. Year: Apr 2009. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF300UCA (_0112)	500401			4-stroke. Year: Jan 2012. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300UCA (_0411)	500401			4-stroke. Year: Apr 2011. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300UCA (113)	500401			4-stroke. Year: Jan 2013. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300UCA (114)	500401			4-stroke. Year: Jan 2014. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300UCA (115)	500401			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300UCA (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300UCA (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300XCA (_0112)	500401			4-stroke. Year: Jan 2012. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300XCA (_0411)	500401			4-stroke. Year: Apr 2011. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300XCA (113)	500401			4-stroke. Year: Jan 2013. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300XCA (114)	500401			4-stroke. Year: Jan 2014. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300XCA (115)	500401			4-stroke. Year: Jan 2015. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300XCA (116)	500401			4-stroke. Year: Jan 2016. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF300XCA (210)	500401			4-stroke. Year: Feb 2010. OEM code: 6CE-44352-00-00.	YAMAHA	Outboard Engines
LF350TUR (407)	500389			4-stroke. Year: Apr 2007. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350TUR (408)	500389			4-stroke. Year: Apr 2008. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350TUR (409)	500389			4-stroke. Year: Apr 2009. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350TXR (407)	500389			4-stroke. Year: Apr 2007. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350TXR (408)	500389			4-stroke. Year: Apr 2008. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350TXR (409)	500389			4-stroke. Year: Apr 2009. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350UCA (_0411)	500389			4-stroke. Year: Apr 2011. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350UCA (410)	500389			4-stroke. Year: Apr 2010. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350UCB (_0112)	500389			4-stroke. Year: Jan 2012. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350UCB (113)	500389			4-stroke. Year: Jan 2013. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350UCB (114)	500389			4-stroke. Year: Jan 2014. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350UCB (115)	500389			4-stroke. Year: Jan 2015. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350UCC (116)	500389			4-stroke. Year: Jan 2016. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350XCA (_0411)	500389			4-stroke. Year: Apr 2011. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350XCA (410)	500389			4-stroke. Year: Apr 2010. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350XCB (_0112)	500389			4-stroke. Year: Jan 2012. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350XCB (113)	500389			4-stroke. Year: Jan 2013. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350XCB (114)	500389			4-stroke. Year: Jan 2014. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350XCB (115)	500389			4-stroke. Year: Jan 2015. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LF350XCC (116)	500389			4-stroke. Year: Jan 2016. OEM code: 6AW-44352-00-00.	YAMAHA	Outboard Engines
LX150TXRX (1999)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LX150TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LX150TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LX200TXRCX (1999)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LX200TXRX (1999)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LX200TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LX200TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LX200TXRZ (2001)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LX225TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LX225TXRA (2002)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LX225TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LX225TXRB (2003)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LX225TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LX225TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LX250TURA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LX250TURA (2002)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LX250TURY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LX250TURZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LX250TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LX250TXRA (2002)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LX250TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LX250TXRB (2003)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LX250TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LX250TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ150TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ150TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ150TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ150TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ150TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ150TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ150TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ200TXR (_0112)	500371			2-stroke. Year: Jan 2012. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ200TXR (_0411)	500371			2-stroke. Year: Apr 2011. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ200TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ200TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ200TXR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ200TXR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ200TXR (410)	500371			2-stroke. Year: Apr 2010. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ200TXR (509)	500371			2-stroke. Year: May 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
LZ200TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ200TXRA (2002)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ200TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ200TXRB (2003)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ200TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ200TXRC (2004)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ200TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ200TXRD (2005)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ200TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ200TXRY (2000)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
LZ200TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
"""LZ200TXRZ (2001)"	500371		61A-W0078-A4-00	"OEM code: 6E5-44352-01-00."""""	YAMAHA	"Outboard Engines"""
